Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\timedep_4-8h.eds;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-31 19:02:26 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD;NOISE;OUTLIERRG
B3;12h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;14,9184885025024;15,0118570327759;0,0905712321400642;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;N;N;N
B4;24h Control;GAPDH;UNKNOWN;SYBR;None;;;;17,7607650756836;16,963903427124;1,29467868804932;;;;;;;VRAI;0,82947164773941;VRAI;3;11;1;;Y;N;N
B5;24h Control;GAPDH;UNKNOWN;SYBR;None;;;;17,6608963012695;16,963903427124;1,29467868804932;;;;;;;VRAI;0,82947164773941;VRAI;3;11;1;;Y;N;N
B6;24h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,4700498580933;16,963903427124;1,29467868804932;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;Y;N;N
C1;24h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,2741479873657;15,5778274536133;0,523845136165619;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;Y;N;N
C2;24h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,2766256332397;15,5778274536133;0,523845136165619;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;Y;N;N
C3;24h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;16,182710647583;15,5778274536133;0,523845136165619;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;Y;N;Y
C4;24h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;16,3034801483154;15,8568773269653;0,457172304391861;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;N;N;N
C5;24h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,877329826355;15,8568773269653;0,457172304391861;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;N;N;N
C6;24h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,3898220062256;15,8568773269653;0,457172304391861;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;N;N;N
C7;12h Control;PARP8;UNKNOWN;SYBR;None;1;0,537749230861664;1,85960280895233;24,9690475463867;25,0810413360596;0,106640718877316;;9,78906059265137;0,322352707386017;;;0;VRAI;1,07210912474415;VRAI;3;17;1;;N;N;N
C8;12h Control;PARP8;UNKNOWN;SYBR;None;1;0,537749230861664;1,85960280895233;25,1813697814941;25,0810413360596;0,106640718877316;;9,78906059265137;0,322352707386017;;;0;VRAI;1,07210912474415;VRAI;3;18;1;;N;N;N
