Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_siRNAP8-P6_stimulation-3pRNA.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-22 15:51:13 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
G7;Control;IFNB;UNKNOWN;SYBR;None;1;0,622566044330597;1,60625529289246;30,6822624206543;30,3128776550293;0,542018473148346;;12,0479936599731;0,318773448467255;;;0;VRAI;1,40676323412817;VRAI;3;23;1;;Y
G8;Control;IFNB;UNKNOWN;SYBR;None;1;0,622566044330597;1,60625529289246;30,6806087493896;30,3128776550293;0,542018473148346;;12,0479936599731;0,318773448467255;;;0;VRAI;1,40676323412817;VRAI;3;23;1;;Y
G9;siPARP6.1;IFNB;UNKNOWN;SYBR;None;0,650004327297211;0,27924633026123;1,51302123069763;29,9707546234131;29,9535446166992;0,457352489233017;;12,669472694397;0,498142570257187;;;0,621478796005249;VRAI;1,40676323412817;VRAI;3;22;1;;N
G10;siPARP6.1;IFNB;UNKNOWN;SYBR;None;0,650004327297211;0,27924633026123;1,51302123069763;29,431676864624;29,9535446166992;0,457352489233017;;12,669472694397;0,498142570257187;;;0,621478796005249;VRAI;1,40676323412817;VRAI;3;22;1;;N
G11;siPARP6.1;IFNB;UNKNOWN;SYBR;None;0,650004327297211;0,27924633026123;1,51302123069763;29,8685779571533;29,9535446166992;0,457352489233017;;12,669472694397;0,498142570257187;;;0,621478796005249;VRAI;1,40676323412817;VRAI;3;22;1;;N
G12;siPARP6.1;IFNB;UNKNOWN;SYBR;None;0,650004327297211;0,27924633026123;1,51302123069763;30,5431652069092;29,9535446166992;0,457352489233017;;12,669472694397;0,498142570257187;;;0,621478796005249;VRAI;1,40676323412817;VRAI;3;23;1;;N
H1;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,553774535655975;0,406159341335297;0,755039155483246;30,1752262115479;30,0222568511963;0,203791096806526;;12,9006233215332;0,182782545685768;;;0,852629423141479;VRAI;1,40676323412817;VRAI;3;22;1;;N
H2;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,553774535655975;0,406159341335297;0,755039155483246;29,7398052215576;30,0222568511963;0,203791096806526;;12,9006233215332;0,182782545685768;;;0,852629423141479;VRAI;1,40676323412817;VRAI;3;22;1;;N
H3;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,553774535655975;0,406159341335297;0,755039155483246;30,0062808990479;30,0222568511963;0,203791096806526;;12,9006233215332;0,182782545685768;;;0,852629423141479;VRAI;1,40676323412817;VRAI;3;22;1;;N
H4;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,553774535655975;0,406159341335297;0,755039155483246;30,1677169799805;30,0222568511963;0,203791096806526;;12,9006233215332;0,182782545685768;;;0,852629423141479;VRAI;1,40676323412817;VRAI;3;22;1;;N
H5;siPARP8.1;IFNB;UNKNOWN;SYBR;None;0,547775387763977;0,288247376680374;1,04097354412079;30,9284687042236;30,1729850769043;0,604156613349915;;12,9163379669189;0,37854939699173;;;0,868343591690063;VRAI;1,40676323412817;VRAI;3;23;1;;Y
H6;siPARP8.1;IFNB;UNKNOWN;SYBR;None;0,547775387763977;0,288247376680374;1,04097354412079;30,3899822235107;30,1729850769043;0,604156613349915;;12,9163379669189;0,37854939699173;;;0,868343591690063;VRAI;1,40676323412817;VRAI;3;23;1;;Y
H7;siPARP8.1;IFNB;UNKNOWN;SYBR;None;0,547775387763977;0,288247376680374;1,04097354412079;30,7332038879395;30,1729850769043;0,604156613349915;;12,9163379669189;0,37854939699173;;;0,868343591690063;VRAI;1,40676323412817;VRAI;3;22;1;;Y
H8;siPARP8.1;IFNB;UNKNOWN;SYBR;None;0,547775387763977;0,288247376680374;1,04097354412079;29,6402893066406;30,1729850769043;0,604156613349915;;12,9163379669189;0,37854939699173;;;0,868343591690063;VRAI;1,40676323412817;VRAI;3;22;1;;Y
H9;siPARP8.2;IFNB;UNKNOWN;SYBR;None;0,245667055249214;0,108873285353184;0,554335236549377;30,8108253479004;29,8756294250488;0,0618789009749889;;14,0732173919678;0,479810625314713;;;2,02522373199463;VRAI;1,40676323412817;VRAI;3;22;1;;N
H10;siPARP8.2;IFNB;UNKNOWN;SYBR;None;0,245667055249214;0,108873285353184;0,554335236549377;30,9408512115479;29,8756294250488;0,0618789009749889;;14,0732173919678;0,479810625314713;;;2,02522373199463;VRAI;1,40676323412817;VRAI;3;22;1;;N
H11;siPARP8.2;IFNB;UNKNOWN;SYBR;None;0,245667055249214;0,108873285353184;0,554335236549377;30,8364734649658;29,8756294250488;0,0618789009749889;;14,0732173919678;0,479810625314713;;;2,02522373199463;VRAI;1,40676323412817;VRAI;3;22;1;;N
H12;siPARP8.2;IFNB;UNKNOWN;SYBR;None;0,245667055249214;0,108873285353184;0,554335236549377;30,914363861084;29,8756294250488;0,0618789009749889;;14,0732173919678;0,479810625314713;;;2,02522373199463;VRAI;1,40676323412817;VRAI;3;22;1;;N
;;;;;;;;;;;;;;;;;;;;;;;;;
Analysis Type;Singleplex;;;;;;;;;;;;;;;;;;;;;;;;
Endogenous Control;GAPDH;;;;;;;;;;;;;;;;;;;;;;;;
RQ Min/Max Confidence Level;95.0;;;;;;;;;;;;;;;;;;;;;;;;
Reference Sample;Control;;;;;;;;;;;;;;;;;;;;;;;;
